sample	gene	is_MET_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010003	GATA3	TRUE	7	0.835974850275168	0.838684049225883	0.91850238161306	0.762573451552825	1.67194970055034	1.67736809845177	1.83700476322612	1.52514690310565	3.27699349583497e-05	4.48452442060291
A269010003	MDM2	TRUE	13	3.0419994024603	3.13436752220821	3.43384182828625	2.81133017604032	6.08399880492061	6.26873504441643	6.8676836565725	5.62266035208063	1e-100	100
A269010003	MET	TRUE	25	1.04544635098099	1.0690591006625	1.34161444617713	0.874990871829581	2.09089270196197	2.138118201325	2.68322889235425	1.74998174365916	8.58895882460525e-20	19.0660594792578
A269010003	NBN	TRUE	17	1.06355400692693	1.0320988110729	1.16208662880844	0.594144836300606	2.12710801385385	2.0641976221458	2.32417325761688	1.18828967260121	0.0046145404667258	2.33587154116071
A269010003	NTRK1	TRUE	8	0.934428116930785	0.940485739450848	1.00017308276642	0.902817827842817	1.86885623386157	1.8809714789017	2.00034616553284	1.80563565568563	0.295889597910819	0.52887030232615
A269010003	Other	TRUE	284	0.997883242429076	1.34292732127554	67.5264880999941	0.0127685424882994	1.99576648485815	2.68585464255108	135.052976199988	0.0255370849765988	1e-100	100
A269010003	PTEN	TRUE	9	0.897944726491587	0.957979215206669	1.44941739211011	0.655635560080432	1.79588945298317	1.91595843041334	2.89883478422021	1.31127112016086	1.69048703851069e-06	5.77198815475616
A269010003	RET	TRUE	12	0.967698147344576	0.975378564316946	1.09824179787254	0.857093823447832	1.93539629468915	1.95075712863389	2.19648359574509	1.71418764689566	0.00189277657197239	2.72290064820541
A269010003	TSC2	TRUE	4	1.16486024672533	1.15661717526691	1.2076888560528	1.08905935156419	2.32972049345066	2.31323435053382	2.41537771210559	2.17811870312837	0.00333787020136821	2.47653055559133
A269010004	CCND1	TRUE	5	1.0848575343699	1.07413490922455	1.11798305921078	1.02084345681426	2.16971506873979	2.1482698184491	2.23596611842156	2.04168691362852	0.0708790362055188	1.14948219650293
