sample	is_MET_pos	seg_idx	gene	cn_rel	cn_abs	pval
A269010007	FALSE	1377	MET	1.04009315757017	2.08018631514034	0.623235252152034
A269010007	FALSE	1378	MET	1.00032582235388	2.00065164470775	0.989974214000668
A269010007	FALSE	1379	MET	1.00842470275619	2.01684940551238	0.784056011980973
A269010007	FALSE	1380	MET	1.04648225103654	2.09296450207308	0.250972027278487
A269010007	FALSE	1381	MET	1.00112977706722	2.00225955413443	0.967810169558098
A269010007	FALSE	1382	MET	1.00276053958577	2.00552107917155	0.902964197185048
A269010007	FALSE	1383	MET	1.01142396134899	2.02284792269798	0.813362589975011
A269010007	FALSE	1384	MET	1.00891049500795	2.01782099001589	0.817631879307397
A269010007	FALSE	1385	MET	1.04375888714488	2.08751777428976	0.303327166614821
A269010007	FALSE	1386	MET	1.01255277536776	2.02510555073552	0.804226350318288
A269010007	FALSE	1387	MET	1.01896795243847	2.03793590487693	0.688890363368492
A269010007	FALSE	1388	MET	0.974497910226101	1.9489958204522	0.45147433951545
A269010007	FALSE	1389	MET	0.981626528131555	1.96325305626311	0.519049915510152
A269010007	FALSE	1390	MET	1.02094044646734	2.04188089293469	0.37295478745005
A269010007	FALSE	1391	MET	1.00940562941142	2.01881125882285	0.546556129435552
A269010009	FALSE	1367	MET	1.08851228237289	2.17702456474578	0.184046931368209
A269010009	FALSE	1368	MET	1.06310665011352	2.12621330022704	0.498153729615173
A269010009	FALSE	1369	MET	1.06804906350013	2.13609812700026	0.494567200876651
A269010009	FALSE	1370	MET	1.1197901840034	2.2395803680068	0.263800193020932
A269010009	FALSE	1371	MET	1.0762232703926	2.15244654078521	0.301011240543355
A269010009	FALSE	1372	MET	1.10442113890434	2.20884227780868	0.125303835447504
A269010009	FALSE	1373	MET	1.00676256796506	2.01352513593011	0.87950577402162
A269010009	FALSE	1374	MET	1.0279106836913	2.05582136738259	0.414305907921487
A269010009	FALSE	1375	MET	0.967343091947304	1.93468618389461	0.67163017990569
A269010009	FALSE	1376	MET	1.03938997826009	2.07877995652017	0.148428812133511
A269010009	FALSE	1377	MET	1.11784393310175	2.23568786620349	0.179099204407237
A269010009	FALSE	1378	MET	1.03521222873556	2.07042445747112	0.189437895852294
A269010009	FALSE	1379	MET	1.04884324961519	2.09768649923037	0.126626939395904
A269010009	FALSE	1380	MET	1.02970160181285	2.05940320362571	0.455965087325076
A269010009	FALSE	1381	MET	1.01527275361161	2.03054550722322	0.590622841509933
A269010009	FALSE	1382	MET	1.03370114917131	2.06740229834262	0.148783369249931
A269010009	FALSE	1383	MET	1.06167161516228	2.12334323032456	0.224671819078253
A269010009	FALSE	1384	MET	1.05452895705672	2.10905791411345	0.176986345304284
A269010009	FALSE	1385	MET	1.05260818235989	2.10521636471977	0.219792579335675
A269010009	FALSE	1386	MET	1.04668871799006	2.09337743598011	0.372446877434814
A269010009	FALSE	1387	MET	1.05863978978097	2.11727957956193	0.233519360780188
A269010009	FALSE	1388	MET	1.03329629810085	2.06659259620169	0.353851152961717
A269010009	FALSE	1389	MET	1.02821780249197	2.05643560498394	0.344443909001744
A269010009	FALSE	1390	MET	1.01890272183501	2.03780544367001	0.420322589552248
A269010009	FALSE	1391	MET	1.01087725328925	2.02175450657849	0.486272863990988
A269010010	FALSE	1367	MET	0.91026110112549	1.82052220225098	0.107279231697454
A269010010	FALSE	1368	MET	0.879362110688854	1.75872422137771	0.117458740367429
A269010010	FALSE	1369	MET	0.896024026565873	1.79204805313175	0.213475734026338
A269010010	FALSE	1370	MET	0.891228134408815	1.78245626881763	0.202348062718431
A269010010	FALSE	1371	MET	0.908273608920847	1.81654721784169	0.140273574914582
A269010010	FALSE	1372	MET	0.950238463505483	1.90047692701097	0.395870680456575
A269010010	FALSE	1373	MET	1.0530774017813	2.10615480356259	0.255328840862922
A269010010	FALSE	1374	MET	0.966018690541134	1.93203738108227	0.290250137842688
A269010010	FALSE	1375	MET	0.900103975718768	1.80020795143754	0.163440072028657
