sample	is_target_pos	seg_idx	gene	cn_rel	cn_abs	pval
A269010004	FALSE	555	ERBB2	1.05182586097778	2.10365172195555	0.458031006459864
A269010004	FALSE	556	ERBB2	0.959275978028158	1.91855195605632	0.295712516879697
A269010004	FALSE	557	ERBB2	0.99360157837756	1.98720315675512	0.808474177271944
A269010004	FALSE	558	ERBB2	1.0307209767039	2.06144195340779	0.645521670224994
A269010004	FALSE	559	ERBB2	0.980137615599102	1.9602752311982	0.648681956496571
A269010004	FALSE	560	ERBB2	1.00078127581627	2.00156255163254	0.970648858200582
A269010005	TRUE	534	ERBB2	1.50302110380988	3.00604220761975	0.00536244379693435
A269010005	TRUE	535	ERBB2	1.28784473030165	2.57568946060329	9.60405372893172e-08
A269010005	TRUE	536	ERBB2	1.53192682878848	3.06385365757696	1.12737952144985e-53
A269010005	TRUE	537	ERBB2	1.37220928404537	2.74441856809075	0.00239975732217085
A269010005	TRUE	538	ERBB2	1.7141494190105	3.428298838021	4.93034551460544e-18
A269010005	TRUE	539	ERBB2	1.27530615447891	2.55061230895783	2.32663074917296e-07
A269010005	TRUE	540	ERBB2	1.31710656294052	2.63421312588103	2.51403811646204e-21
A269010005	TRUE	541	ERBB2	1.40509419032237	2.81018838064473	4.28340929239887e-05
A269010005	TRUE	542	ERBB2	1.60964790596367	3.21929581192733	5.26687192467581e-47
A269010005	TRUE	543	ERBB2	1.43302285462543	2.86604570925087	2.57920417144642e-05
A269010005	TRUE	544	ERBB2	1.49744484444328	2.99488968888656	1e-100
A269010005	TRUE	545	ERBB2	1.40941828145017	2.81883656290034	4.11685016163078e-06
A269010005	TRUE	546	ERBB2	1.4055561018951	2.81111220379021	2.7358616788073e-23
A269010005	TRUE	547	ERBB2	1.35812364689044	2.71624729378088	4.35756970046848e-06
A269010005	TRUE	548	ERBB2	1.4299171901187	2.8598343802374	0.0051596770441016
A269010005	TRUE	549	ERBB2	1.42980391037506	2.85960782075012	8.7668477598735e-38
A269010005	TRUE	550	ERBB2	1.40597372479912	2.81194744959824	1.69745746021178e-79
A269010005	TRUE	551	ERBB2	1.24134586989353	2.48269173978705	7.31120994620719e-05
A269010005	TRUE	552	ERBB2	1.32753918029703	2.65507836059405	0.0127931990597267
A269010005	TRUE	553	ERBB2	1.29587303020436	2.59174606040872	6.18789940734996e-07
A269010005	TRUE	554	ERBB2	1.37531157891654	2.75062315783308	1e-100
A269010005	TRUE	555	ERBB2	1.28601352853634	2.57202705707269	0.000809199346752597
A269010005	TRUE	556	ERBB2	1.43254859635928	2.86509719271856	1.02782529496025e-13
A269010005	TRUE	557	ERBB2	1.22912880542473	2.45825761084946	2.26846864332206e-12
A269010005	TRUE	558	ERBB2	1.18896177392013	2.37792354784027	0.0141747597064069
A269010005	TRUE	559	ERBB2	1.39495930257398	2.78991860514796	1.9480408509581e-10
A269010005	TRUE	560	ERBB2	1.39310109547172	2.78620219094344	2.32637958699684e-40
A269010006	TRUE	534	ERBB2	1.34303305922705	2.6860661184541	0.033585340659155
A269010006	TRUE	535	ERBB2	1.073530831237	2.14706166247399	0.10212770652354
A269010006	TRUE	536	ERBB2	1.11155367749494	2.22310735498989	8.27319226500504e-06
A269010006	TRUE	537	ERBB2	0.820033718863664	1.64006743772733	0.0140441251067819
A269010006	TRUE	538	ERBB2	1.12019013309998	2.24038026619996	0.02581655527252
A269010006	TRUE	539	ERBB2	1.07603001544322	2.15206003088644	0.0905378184131459
A269010006	TRUE	540	ERBB2	0.938944988826234	1.87788997765247	0.0104459892915135
A269010006	TRUE	541	ERBB2	0.96492260471556	1.92984520943112	0.605911206504452
A269010006	TRUE	542	ERBB2	1.10659184602298	2.21318369204597	0.000250290708489877
A269010006	TRUE	543	ERBB2	0.970649357628048	1.9412987152561	0.673708449170776
A269010006	TRUE	544	ERBB2	0.956009756741721	1.91201951348344	0.000314332939132622
A269010006	TRUE	545	ERBB2	0.96751223821356	1.93502447642712	0.594478891455439
A269010006	TRUE	546	ERBB2	1.00580129077084	2.01160258154169	0.842468509499105
A269010006	TRUE	547	ERBB2	0.994820989626744	1.98964197925349	0.927739294453522
A269010006	TRUE	548	ERBB2	0.993582894036157	1.98716578807231	0.95209115191519
A269010006	TRUE	549	ERBB2	1.19264497895789	2.38528995791579	5.05297697721625e-12
A269010006	TRUE	550	ERBB2	1.15248152832095	2.3049630566419	5.12698932839942e-18
A269010006	TRUE	551	ERBB2	0.996792801512688	1.99358560302538	0.947670493178553
A269010006	TRUE	552	ERBB2	1.05834997708154	2.11669995416308	0.578010910882913
A269010006	TRUE	553	ERBB2	1.03806421051964	2.07612842103929	0.423339993028535
A269010006	TRUE	554	ERBB2	1.14031927591684	2.28063855183368	8.34269883891079e-59
A269010006	TRUE	555	ERBB2	1.0909186979285	2.18183739585701	0.209402462859848
A269010006	TRUE	556	ERBB2	1.14077910125615	2.2815582025123	0.00236845424302101
A269010006	TRUE	557	ERBB2	1.11211077880212	2.22422155760424	0.000147901288569053
A269010006	TRUE	558	ERBB2	1.14887680931948	2.29775361863896	0.0455100345418552
A269010006	TRUE	559	ERBB2	1.12198013680389	2.24396027360778	0.0145171767262476
A269010006	TRUE	560	ERBB2	1.2378901825773	2.47578036515461	1.33378330988955e-19
A269010007	TRUE	534	ERBB2	1.36391962534111	2.72783925068221	0.0264269224713004
A269010007	TRUE	535	ERBB2	1.39155824641038	2.78311649282077	1.87824626380085e-11
A269010007	TRUE	536	ERBB2	1.08145041725709	2.16290083451418	0.000821086641632453
A269010007	TRUE	537	ERBB2	1.08612455229325	2.17224910458651	0.374841222984789
A269010007	TRUE	538	ERBB2	1.08691547467792	2.17383094935585	0.0966697175615459
A269010007	TRUE	539	ERBB2	1.26652912742918	2.53305825485836	4.6315864654252e-07
A269010007	TRUE	540	ERBB2	1.12380621834536	2.24761243669072	1.43524497329656e-05
A269010007	TRUE	541	ERBB2	1.26678717375166	2.53357434750333	0.00280007081199993
A269010007	TRUE	542	ERBB2	1.09318083790304	2.18636167580609	0.00119320506186904
A269010007	TRUE	543	ERBB2	1.24403980452933	2.48807960905866	0.00630251821462915
A269010007	TRUE	544	ERBB2	1.15839075821753	2.31678151643506	9.43619844845314e-27
A269010007	TRUE	545	ERBB2	1.15923430248311	2.31846860496623	0.0294258218366896
A269010007	TRUE	546	ERBB2	1.26220274037631	2.52440548075261	8.20337964617209e-13
A269010007	TRUE	547	ERBB2	1.2359572440282	2.47191448805639	0.000881917564019184
A269010007	TRUE	548	ERBB2	1.24882848729516	2.49765697459033	0.0638067585790032
A269010007	TRUE	549	ERBB2	1.28983002440691	2.57966004881381	7.66033279131789e-22
