sample	gene	is_target_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010003	NTRK1	FALSE	8	0.93673642889979	0.937111381746927	0.965827477337097	0.902788834782636	1.87347285779958	1.87422276349385	1.93165495467419	1.80557766956527	0.49608220101852	0.304446354778189
A269010003	Other	FALSE	281	1.00373228984529	0.991684527743067	1.19446069754771	0.203046750141345	2.00746457969057	1.98336905548613	2.38892139509542	0.40609350028269	0.0736392205534125	1.13289081700593
A269010003	PTEN	FALSE	9	0.983451959944751	0.959297867763	1.00006926003773	0.767450455758565	1.9669039198895	1.918595735526	2.00013852007546	1.53490091151713	0.159470000404002	0.797321004672029
A269010003	RET	FALSE	12	0.991355561111253	0.99236119868985	1.02510906704561	0.969849084879213	1.98271112222251	1.9847223973797	2.05021813409121	1.93969816975843	0.201116006981063	0.696553362188475
A269010003	TSC2	FALSE	29	1.03231246532217	1.03684429161678	1.0814252665369	1.00618953909467	2.06462493064435	2.07368858323356	2.1628505330738	2.01237907818933	0.0752018321584068	1.12377157846962
A269010004	CCND1	FALSE	5	0.96638491726654	0.973547195811895	1.00448298807283	0.951968790662802	1.93276983453308	1.94709439162379	2.00896597614567	1.9039375813256	0.453498964909085	0.343423699860305
A269010004	CDK4	FALSE	7	1.10519895676218	1.10529237774245	1.18498330380662	1.03125683173906	2.21039791352435	2.21058475548491	2.36996660761323	2.06251366347811	0.550475794118505	0.259261773353247
A269010004	CREBBP	FALSE	45	0.993400848814781	0.992124142370918	1.03801463512046	0.938578404158254	1.98680169762956	1.98424828474184	2.07602927024093	1.87715680831651	0.137640559391478	0.861253571010869
A269010004	DDR2	FALSE	7	1.0550701060819	1.05447441248095	1.09205400816024	1.01976751042896	2.11014021216381	2.10894882496191	2.18410801632047	2.03953502085793	0.768568744126609	0.114317281242153
A269010004	EGFR	FALSE	29	0.981820487578874	0.981689791070641	1.02597191775888	0.938323096211848	1.96364097515775	1.96337958214128	2.05194383551776	1.8766461924237	0.152186657493973	0.81762342135484
A269010004	ERBB2	FALSE	27	0.996133996778125	0.999819818418703	1.05182586097778	0.944920290944564	1.99226799355625	1.99963963683741	2.10365172195555	1.88984058188913	0.274591467517898	0.561312961882461
A269010004	FGFR3	FALSE	16	1.04255985556996	1.05115716580651	1.17941258838755	0.983746904895997	2.08511971113991	2.10231433161301	2.35882517677509	1.96749380979199	0.086072227336492	1.06513695842121
A269010004	GATA3	FALSE	7	0.973088238529801	0.977674628491978	1.03157545403426	0.932066090968097	1.9461764770596	1.95534925698396	2.06315090806851	1.86413218193619	0.511410328054455	0.291230505539707
A269010004	MDM2	FALSE	13	0.884807071617458	0.88705275974254	1.02546556146899	0.7699639767858	1.76961414323492	1.77410551948508	2.05093112293798	1.5399279535716	0.281646148877361	0.550296182766091
A269010004	MET	FALSE	19	1.00801202660588	0.991513872655762	1.04292310113464	0.896627939867957	2.01602405321175	1.98302774531152	2.08584620226927	1.79325587973591	0.478835206438787	0.31981392551713
A269010004	NBN	FALSE	17	0.984549915677457	0.978916090208271	1.01898093300392	0.87814842229748	1.96909983135491	1.95783218041654	2.03796186600785	1.75629684459496	0.243783508006422	0.612995677815543
